Episode_ID,Title,Rating
S11E02,"S11.E2 ∙ Cartman Sucks",9.0
S11E03,"S11.E3 ∙ Lice Capades",8.0
S11E04,"S11.E4 ∙ The Snuke",8.1
S11E05,"S11.E5 ∙ Fantastic Easter Special",8.1
S11E06,"S11.E6 ∙ D-Yikes!",7.6
S11E07,"S11.E7 ∙ Night of the Living Homeless",8.7
S11E08,"S11.E8 ∙ Le Petit Tourette",9.0
S11E09,"S11.E9 ∙ More Crap",8.1
S11E10,"S11.E10 ∙ Imaginationland",9.0
S11E11,"S11.E11 ∙ Imaginationland: Episode II",9.0
S11E12,"S11.E12 ∙ Imaginationland: Episode III",9.0
S11E13,"S11.E13 ∙ Guitar Queer-o",8.4
S11E14,"S11.E14 ∙ The List",8.5
S12E01,"S12.E1 ∙ Tonsil Trouble",8.0
S12E02,"S12.E2 ∙ Britney's New Look",7.1
S12E03,"S12.E3 ∙ Major Boobage",8.7
S12E04,"S12.E4 ∙ Canada on Strike",7.6
S12E05,"S12.E5 ∙ Eek, a Penis!",7.6
S12E06,"S12.E6 ∙ Over Logging",8.5
S12E07,"S12.E7 ∙ Super Fun Time",8.4
S12E08,"S12.E8 ∙ The China Probrem",7.7
S12E09,"S12.E9 ∙ Breast Cancer Show Ever",8.8
S12E10,"S12.E10 ∙ Pandemic",8.0
S12E11,"S12.E11 ∙ Pandemic 2: The Startling",7.8
S12E12,"S12.E12 ∙ About Last Night...",7.6
S12E13,"S12.E13 ∙ Elementary School Musical",7.6
S12E14,"S12.E14 ∙ The Ungroundable",7.7
S13E01,"S13.E1 ∙ The Ring",8.1
S13E02,"S13.E2 ∙ The Coon",8.4
S13E03,"S13.E3 ∙ Margaritaville",8.5
S13E04,"S13.E4 ∙ Eat, Pray, Queef",6.5
S13E05,"S13.E5 ∙ Fishsticks",8.8
S13E06,"S13.E6 ∙ Pinewood Derby",7.8
S13E07,"S13.E7 ∙ Fatbeard",8.2
S13E08,"S13.E8 ∙ Dead Celebrities",7.7
S13E09,"S13.E9 ∙ Butters' Bottom Bitch",8.9
S13E10,"S13.E10 ∙ W.T.F.",8.3
S13E11,"S13.E11 ∙ Whale Whores",8.1
S13E12,"S13.E12 ∙ The F Word",8.1
S13E13,"S13.E13 ∙ Dances with Smurfs",8.1
S13E14,"S13.E14 ∙ Pee",7.7
S14E01,"S14.E1 ∙ Sexual Healing",7.5
S14E02,"S14.E2 ∙ The Tale of Scrotie McBoogerballs",8.0
S14E03,"S14.E3 ∙ Medicinal Fried Chicken",8.7
S14E04,"S14.E4 ∙ You Have 0 Friends",8.7
S14E05,"S14.E5 ∙ 200",8.8
S14E06,"S14.E6 ∙ 201",8.8
S14E07,"S14.E7 ∙ Crippled Summer",6.8
S14E08,"S14.E8 ∙ Poor and Stupid",7.5
S14E09,"S14.E9 ∙ It's a Jersey Thing",7.8
S14E10,"S14.E10 ∙ Insheeption",8.1
S14E11,"S14.E11 ∙ Coon 2: Hindsight",8.1
S14E12,"S14.E12 ∙ Mysterion Rises",8.3
S14E13,"S14.E13 ∙ Coon vs. Coon and Friends",8.3
S14E14,"S14.E14 ∙ Crème Fraîche",8.2
S15E01,"S15.E1 ∙ HUMANCENTiPAD",7.7
S15E02,"S15.E2 ∙ Funnybot",6.4
S15E03,"S15.E3 ∙ Royal Pudding",6.7
S15E04,"S15.E4 ∙ T.M.I.",8.1
S15E05,"S15.E5 ∙ Crack Baby Athletic Association",7.5
S15E06,"S15.E6 ∙ City Sushi",8.1
S15E07,"S15.E7 ∙ You're Getting Old",8.6
S15E08,"S15.E8 ∙ Ass Burgers",8.1
S15E09,"S15.E9 ∙ The Last of the Meheecans",8.1
S15E10,"S15.E10 ∙ Bass to Mouth",7.5
S15E11,"S15.E11 ∙ Broadway Bro Down",7.8
S15E12,"S15.E12 ∙ 1%",7.8
S15E13,"S15.E13 ∙ A History Channel Thanksgiving",7.2
S15E14,"S15.E14 ∙ The Poor Kid",7.9
S16E01,"S16.E1 ∙ Reverse Cowgirl",7.7
S16E02,"S16.E2 ∙ Cash for Gold",7.9
S16E03,"S16.E3 ∙ Faith Hilling",7.1
S16E04,"S16.E4 ∙ Jewpacabra",6.7
S16E05,"S16.E5 ∙ Butterballs",7.6
S16E06,"S16.E6 ∙ I Should Have Never Gone Ziplining",7.1
S16E07,"S16.E7 ∙ Cartman Finds Love",8.0
S16E08,"S16.E8 ∙ Sarcastaball",7.5
S16E09,"S16.E9 ∙ Raising the Bar",8.1
S16E10,"S16.E10 ∙ Insecurity",8.3
S16E11,"S16.E11 ∙ Going Native",6.7
S16E12,"S16.E12 ∙ A Nightmare on FaceTime",8.3
S16E13,"S16.E13 ∙ A Scause for Applause",7.1
S16E14,"S16.E14 ∙ Obama Wins!",7.4
S17E01,"S17.E1 ∙ Let Go, Let Gov",7.4
S17E02,"S17.E2 ∙ Informative Murder Porn",8.1
S17E03,"S17.E3 ∙ World War Zimmerman",7.7
S17E04,"S17.E4 ∙ Goth Kids 3: Dawn of the Posers",6.8
S17E05,"S17.E5 ∙ Taming Strange",7.0
